Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W2,DSC_0727.NEF,-1.0053896235804005,-0.0003387641413605236,4301.655962419962,0.006581178043425711,-1.0002237453526628,3101.1289954699505,-7.248076705230349e-07,3.860776154556039e-06,1.0
A&W2,DSC_0728.NEF,-1.0044431263340319,-0.000990350558251543,4297.536074085627,0.005237763221185842,-0.9986960395804427,3102.32262440171,-1.146446773082505e-06,3.6354218206724365e-06,1.0
A&W2,DSC_0729.NEF,-1.0063483800760524,-0.0004543799435415401,4306.202845514111,0.00664654780649015,-1.001860649514984,3109.323127054833,-1.1767082299250188e-07,3.628553086017133e-06,1.0
A&W2,DSC_0730.NEF,-1.0050322179565794,-0.0012448780485682669,4300.458276521221,0.006189679435992542,-1.0009595456055889,3104.6724337180244,-3.681707772181708e-07,2.956969952177744e-06,1.0
A&W2,DSC_0731.NEF,-1.0073997781247976,0.0014944629094077295,4305.35684849755,0.006927966155556707,-1.0017268395501193,3109.371656754405,-6.02394471312833e-07,4.836241904652999e-06,1.0
A&W2,DSC_0732.NEF,-1.0039807078397818,-0.0014320259001588853,4296.335483227335,0.0056019512982691585,-0.9999145085220824,3104.144395605677,-7.622491629113944e-07,2.9651934437086426e-06,1.0
A&W2,DSC_0733.NEF,-1.0073665077588705,0.00042295709490779864,4309.353391427727,0.0075587712529842635,-1.00230356213471,3104.855485220286,6.224173288355017e-08,4.16701207394798e-06,1.0
A&W2,DSC_0734.NEF,-1.0026759483197834,-0.000700236000105036,4288.156972966498,0.00563744900328246,-0.9975148366581424,3094.160597282909,-2.115347330838237e-06,3.7709797052594423e-06,1.0
A&W2,DSC_0735.NEF,-1.0042283519761055,-0.0008340945070562176,4299.083225520712,0.006134727644937564,-0.9993642689995755,3096.879966896246,-9.807750884843282e-07,3.497227708460255e-06,1.0
A&W2,DSC_0736.NEF,-0.9997184153735167,-0.0036252735913130285,4280.952542805192,0.0030056205239353743,-0.9959057580088023,3091.9464673939674,-2.1461681153673636e-06,2.1198023386950446e-06,1.0
A&W2,DSC_0737.NEF,-1.0038235881431103,-0.0017678380173043614,4298.157187182071,0.006079815496458034,-0.9997567611611812,3095.7205762853832,-9.169511837376697e-07,3.0982102177005597e-06,1.0
A&W2,DSC_0738.NEF,-1.0045542829036946,-0.0014086505357479044,4300.951618734541,0.006204450209434997,-0.999409447741626,3096.862174803099,-7.715397580837888e-07,3.4347923411016636e-06,1.0
